customer_id,first_name,last_name,email,phone,address,registration_date,customer_segment,is_active
262,Stacy Lucas,Noah Crawford,snorman@example.com,(733)742-8477,"82685 Daniel Ridge
New Jonathanland, SD 52331",2025-03-19,Platinum,False
1641,Jacqueline Hughes,Tiffany Cummings,autumnmatthews@example.org,001-879-280-6296x35951,"PSC 3106, Box 2194
APO AE 25836",2025-01-25,Platinum,False
20,Erica Williams,Sarah Cobb,leslie90@example.org,843.477.6864,"62779 Jamie Lock Suite 378
Jessicashire, OH 05204",2025-02-01,Bronze,True
380,Randy Marshall,Sarah Mcclain,laurawood@example.org,001-886-908-7390x1760,"7130 Thompson Parks Apt. 144
Brooksview, AK 46332",2024-10-15,Bronze,True
1029,Ryan Mullen,Rick Lewis,charlottehampton@example.com,465.672.2979x6844,"74492 Rachel Walk
Lopezside, WI 08575",2024-11-14,Gold,True
411,Mr. Jim Evans,Becky Brown,patrick89@example.com,925-324-0927,"8075 Wilson Corner Apt. 111
Suzanneborough, NV 72469",2025-07-04,Bronze,True
1862,Melissa Mcgrath,Katherine Morrison,natashaarias@example.net,(527)744-3563,"84211 Thompson River Suite 611
Lisamouth, CO 45235",2025-06-08,Gold,False
1126,Collin Shelton,Susan Sharp,davisderrick@example.org,851-492-6439x801,"239 Bailey Brooks
West Erinview, MD 22350",2025-05-06,Platinum,True
1252,Kenneth Williams,Judy Moody,aholmes@example.com,+1-485-232-6638x6707,"USCGC Welch
FPO AA 90969",2024-10-31,Bronze,False
795,Robert Mcdonald,Jessica Sims,hjones@example.net,6755816467,"65738 Smith Roads Suite 769
West Jesusmouth, GA 82464",2025-05-17,Silver,True
1877,Kimberly Stanley,Deanna Carroll,obrienbenjamin@example.net,+1-994-505-4084x5296,"0100 Robert Mission
Lake Kyleburgh, OH 19103",2024-12-20,Bronze,False
1085,Dylan Edwards,Pamela Henry,brian58@example.com,001-827-910-1584x74196,"6701 Moore Way Apt. 325
East Andrewland, TX 63100",2024-11-01,Silver,True
1232,George Fritz,Michael Smith,kristen97@example.org,849.380.0941x10450,"961 Woodward Vista
North Julie, MN 85627",2025-06-28,Gold,True
545,April Turner,Christopher Love,jennifermcclain@example.org,454-346-1592x14076,"8356 Diana Keys Apt. 626
Port Ian, CO 50382",2025-05-12,Gold,True
409,Elizabeth Gutierrez,Brian Wilson,randydavid@example.net,001-992-575-1696x696,"195 Stephanie Parks Apt. 646
Reyesmouth, NY 34140",2024-11-24,Gold,False
1246,Marcus Bennett,Deborah Rhodes,vgonzalez@example.net,001-210-572-3245x6255,"5978 George Alley Apt. 587
North Andrea, GU 45058",2024-11-30,Bronze,True
34,Andrea Armstrong,Lauren Clark,charleshayes@example.org,(896)558-2651x3100,"802 Moses Streets
East Jessica, KS 54926",2025-04-30,Silver,True
853,Amanda Stone,Christopher Foster,michelle20@example.com,(381)743-3335,"681 Hall Locks Apt. 795
Port Matthewburgh, PW 75572",2025-07-06,Silver,False
